Date,Naive,AR(2),"ARIMAx(0,1,1)","ARNNx(2,4)","ARFIMAx(0,0.49135,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMAx(2,4,4,T)"
12/1/2022,71.0086,60.88429145,74.08072073,52.53336079,60.86528575,71.45633092,69.60168997,71.00631197,66.15141663,75.64952802,20.77631609,87.86086156,100.6479053,84.24893185,84.82869378,54.3799924,78.1469811
1/1/2023,71.0086,60.70236236,74.3156152,51.50210675,60.77881952,71.45634952,69.58542473,71.00631197,66.03836852,75.4498251,20.77631609,85.05816678,101.3598029,83.88734901,84.89649102,54.73919379,79.78257991
2/1/2023,71.0086,60.52377599,74.36464293,51.08767499,60.6945352,71.4563644,69.56971216,71.00631197,65.92603016,75.49883257,20.77631609,88.07459698,103.6082076,85.06108651,85.16680515,54.32485978,81.87254225
3/1/2023,71.0086,60.34847091,74.4995934,51.01592189,60.61233566,71.45637631,69.55453348,71.00631197,65.81439757,75.27981853,20.77631609,91.60182982,102.4355968,83.43358922,84.05065755,54.43016959,84.06037041
4/1/2023,71.0086,60.17638684,74.50191333,50.99021991,60.53213019,71.45638583,69.53987055,71.00631197,65.70346681,75.12819333,20.77631609,79.57181116,102.8008257,81.58117744,82.21352791,54.89256871,84.79891654
5/1/2023,71.0086,60.00746459,74.77656607,50.76658182,60.4538339,71.45639345,69.52570585,71.00631197,65.59323394,75.64500921,20.77631609,92.40884425,100.291311,82.22584845,81.62416011,54.24118727,84.22714703
6/1/2023,71.0086,59.84164607,74.875629,50.44866498,60.37736721,71.45639954,69.51202245,71.00631197,65.48369505,76.03875629,20.77631609,85.98832875,100.9058456,82.07898887,81.11052786,54.99263751,83.94083998
7/1/2023,71.0086,59.67887426,75.05530223,50.17247265,60.30265546,71.45640442,69.49880398,71.00631197,65.37484626,76.06929933,20.77631609,78.89023678,100.7501463,80.75141186,80.34493785,54.34184434,83.56005727
8/1/2023,71.0086,59.51909317,75.24194009,50.01564707,60.22962845,71.45640832,69.48603466,71.00631197,65.2666837,76.65708501,20.77631609,87.01369265,102.5801665,81.08188346,79.52062735,54.67952316,85.17608198
9/1/2023,71.0086,59.36224785,75.57043292,50.1220025,60.15822012,71.45641144,69.47369922,71.00631197,65.15920354,76.98778516,20.77631609,85.41203546,101.4763559,80.14294114,78.60048048,56.87199365,87.08044545
10/1/2023,71.0086,59.20828436,75.75292573,50.15660466,60.08836819,71.45641394,69.46178293,71.00631197,65.05240195,76.87578178,20.77631609,78.90592901,101.1717153,80.12308365,78.35375788,55.65391733,87.74803174
