Date,spot_ER_India,SR_interest_rate_india,SR_interest_rate_USA,SR_Interest_rate_diff_I_U,CPI_Inflation_India,CPI_inflation_USA,CPI_inflation_diff_I_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_india,US_EMV,US_MPU
2004-06-01,45.5,6,1.03,4.97,3.02,3.27,-0.25,23.81,76.56,0.24,14.78,141
2004-07-01,46.06,6,1.26,4.74,3.19,2.99,0.2,32.32,70.39,0.29,17.49,119
2004-08-01,46.32,6,1.43,4.57,4.61,2.65,1.95,42.24,68.75,0.15,15.69,106
2004-09-01,46.05,6,1.61,4.39,4.81,2.54,2.27,61.19,76.09,0.24,14.3,89
2004-10-01,45.74,6,1.76,4.24,4.57,3.19,1.38,75.29,89.35,0.12,15.52,205
2004-11-01,45.03,6,1.93,4.07,4.17,3.52,0.64,56.75,81.34,0.19,13.93,113
2004-12-01,43.85,6,2.16,3.84,3.78,3.26,0.53,34.39,66.51,0.23,17.01,51
2005-01-01,43.62,6,2.28,3.72,4.37,2.97,1.4,37.62,63.92,0.24,17.35,103
2005-02-01,43.58,6,2.5,3.5,4.17,3.01,1.16,38.21,56.11,0.17,13.99,38
2005-03-01,43.59,6,2.63,3.37,4.17,3.15,1.02,47.15,58.25,0.21,14.57,50
2005-04-01,43.64,6,2.79,3.21,4.96,3.51,1.45,44.44,71.37,0.23,18.87,119
2005-05-01,43.41,6,3,3,3.74,2.8,0.94,23.96,68.16,0.16,16.54,97
2005-06-01,43.52,6,3.04,2.96,3.32,2.53,0.79,48.01,69.53,0.19,16.72,83
2005-07-01,43.43,6,3.26,2.74,4.06,3.17,0.89,44.29,60.84,0.37,13.62,76
2005-08-01,43.55,6,3.5,2.5,3.45,3.64,-0.19,44.58,62.73,0.21,17.18,71
2005-09-01,43.85,6,3.62,2.38,3.63,4.69,-1.05,43.17,89.31,0.26,15.09,179
2005-10-01,44.76,6,3.78,2.22,4.18,4.35,-0.17,17.31,65.26,0.16,15.21,127
2005-11-01,45.63,6,4,2,5.33,3.46,1.88,20.15,66.13,0.17,13.51,80
2005-12-01,45.56,6,4.16,1.84,5.57,3.42,2.15,37.17,63.71,0.19,14.16,97
2006-01-01,44.2,6,4.29,1.71,4.37,3.99,0.39,38.82,73.09,0.28,17.61,139
2006-02-01,44.23,6,4.49,1.51,4.57,3.6,0.97,28.24,58.5,0.25,12.64,73
2006-03-01,44.34,6,4.59,1.41,4.57,3.36,1.21,16.28,60.94,0.35,13.72,85
2006-04-01,44.82,6,4.79,1.21,4.65,3.55,1.11,31.37,76.36,0.24,14.36,96
2006-05-01,45.2,6,4.94,1.06,5.93,4.17,1.76,42.14,63.2,0.14,17.61,148
