Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49035,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(4,2,1,T)"
9/1/2022,4.0825,2.946623582,4.282084003,2.318498049,3.145767833,4.167617629,3.572658616,4.069662147,4.075525159,4.48585235,3.142699917,9.086077676,7.63714479,6.327874001,6.515081022,3.631787947,4.571907174
10/1/2022,4.0825,2.929079764,4.268200303,2.231736385,3.137736181,4.167624636,3.572525468,4.069662147,4.075329103,4.427579099,3.141724068,8.32596058,6.995702069,6.326583121,6.515546163,4.05621416,4.453117787
11/1/2022,4.0825,2.912080622,4.289577744,2.137723788,3.129947599,4.167630243,3.572416633,4.069662147,4.075133224,4.47073031,3.14084812,6.185973595,6.597503231,6.394892758,6.367053585,3.734212966,4.392809692
12/1/2022,4.0825,2.895609245,4.278186555,2.029657209,3.12238937,4.167634731,3.572327672,4.069662147,4.074937522,4.508220197,3.140061677,7.394557006,6.898145639,6.489761856,6.538371217,3.662133897,4.300068269
1/1/2023,4.0825,2.879649249,4.317039937,1.958133815,3.115049742,4.167638323,3.572254957,4.069662147,4.074741997,4.470652543,3.139355456,6.544789668,6.658829639,6.544016367,6.348556088,3.882771442,4.262927201
2/1/2023,4.0825,2.864184757,4.357985447,1.959925113,3.107917833,4.167641198,3.57219552,4.069662147,4.074546649,4.478763136,3.138721165,5.46402683,6.554445814,6.525197832,6.410940186,3.83661058,4.425607627
3/1/2023,4.0825,2.849200384,4.377078539,1.964477375,3.100983543,4.167643499,3.572146937,4.069662147,4.074351478,4.498021399,3.13815139,7.987386363,7.151519957,6.21165582,6.139121231,3.731394866,4.507929121
4/1/2023,4.0825,2.834681225,4.372483679,1.949595982,3.094237482,4.167645341,3.572107226,4.069662147,4.074156484,4.458641568,3.137639496,6.185616302,7.957758156,6.008338185,5.916988727,3.786246127,4.451703077
5/1/2023,4.0825,2.820612837,4.374217397,1.926416184,3.087670907,4.167646815,3.572074767,4.069662147,4.073961666,4.496295058,3.137179546,6.39147392,8.323913568,5.734371078,5.889886723,3.87921886,4.478664672
6/1/2023,4.0825,2.806981224,4.378704364,1.900163569,3.081275658,4.167647994,3.572048236,4.069662147,4.073767024,4.495638374,3.136766223,7.881406236,7.606418115,5.926990138,6.013647747,3.819839392,4.532251144
7/1/2023,4.0825,2.793772827,4.398202603,1.875530785,3.075044111,4.167648939,3.57202655,4.069662147,4.073572559,4.471672355,3.136394762,4.121547092,8.254432186,5.603604308,6.045895107,3.749313485,4.533931259
8/1/2023,4.0825,2.780974505,4.418195139,1.871425198,3.068969131,4.167649694,3.572008824,4.069662147,4.073378269,4.547289258,3.136060894,7.427740829,8.068859072,5.606507186,5.955701704,3.60935186,4.593558769
9/1/2023,4.0825,2.768573528,4.462181658,1.898051977,3.063044031,4.167650299,3.571994336,4.069662147,4.073184156,4.63486055,3.135760789,6.537740187,7.153978295,5.811148322,5.920226019,3.862491647,4.688275156
10/1/2023,4.0825,2.756557559,4.47996361,1.924745382,3.057262535,4.167650783,3.571982493,4.069662147,4.072990218,4.574417434,3.135491013,8.58001161,7.877690749,5.69335619,6.141158019,3.9204112,4.807377892
